2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,356,-215.0,2,25.0,NIL,NIL,1,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,344,-335.0,3,51.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,238,-124.0,1,16.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,83,-353.0,3,36.0,NIL,NIL,2,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,428,-113.0,1,8.0,NIL,NIL,1,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,466,-100.0,1,12.0,NIL,NIL,1,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,59,-124.0,1,23.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,304,-184.0,2,27.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,29,-122.0,1,3.0,1,1,1,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,15,-127.0,1,8.0,NIL,NIL,1,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,360,-84.0,1,15.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,493,-107.0,1,7.0,NIL,NIL,1,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,184,-99.0,1,6.0,NIL,1,1,1,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,133,-116.0,1,2.0,1,1,1,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,1,-117.0,1,3.0,1,1,1,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046851,38400,135,-177.0,2,43.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046851,38400,224,-195.0,2,53.0,NIL,NIL,NIL,NIL,NIL
